@relation damir_test_3

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute exercise {Push-ups,Sit-ups,'Air Squat'}

@data
14.0995,-1.25815,7.25383,Sit-ups
6.98448,2.32238,7.8847,Sit-ups
6.68641,6.65409,2.2709,Sit-ups
-1.35272,6.0717,5.4923,Sit-ups
7.76499,2.63781,7.86795,Sit-ups
7.48966,3.35727,6.97551,Sit-ups
5.26186,-0.533308,8.66521,Sit-ups
10.249,7.77816,3.68946,Sit-ups
1.50715,5.5336,2.36547,Sit-ups
2.54025,2.2709,6.45716,Sit-ups
10.9403,0.805649,1.27132,Sit-ups
8.77654,-2.00335,7.89548,Sit-ups
8.15525,2.68869,7.32985,Sit-ups
3.57634,2.67672,2.86287,Sit-ups
7.28975,4.91111,-0.96606,Sit-ups
10.8559,0.743998,6.64571,Sit-ups
8.26119,-4.50349,8.72507,Sit-ups
9.13867,1.69629,4.88417,Sit-ups
6.9785,5.23013,4.14436,Sit-ups
3.82174,6.44938,4.24851,Sit-ups
6.19141,9.13747,8.42998,Sit-ups
7.89189,1.20428,7.67342,Sit-ups
7.17243,-1.32938,7.57525,Sit-ups
9.85094,2.92691,4.99969,Sit-ups
7.99484,7.64109,3.99652,Sit-ups
2.64799,2.19249,2.62165,Sit-ups
2.40258,4.64834,5.83527,Sit-ups
6.64511,2.58394,4.49392,Sit-ups
6.53976,-1.19471,9.48942,Sit-ups
10.7027,-1.19411,7.2275,Sit-ups
8.47847,4.10246,4.1288,Sit-ups
5.53839,7.17782,2.82037,Sit-ups
4.58729,4.75309,4.83868,Sit-ups
2.90656,7.3514,3.1394,Sit-ups
10.7554,1.65619,8.26419,Sit-ups
6.82707,0.514155,5.93223,Sit-ups
8.05828,-0.90022,6.03758,Sit-ups
8.02836,3.65235,4.8728,Sit-ups
4.38797,6.8552,4.70401,Sit-ups
3.10528,7.68299,2.66534,Sit-ups
6.113,7.60997,0.837372,Sit-ups
2.27808,9.32961,0.983418,Sit-ups
3.43688,9.26377,-0.114323,Sit-ups
7.05751,13.2238,4.54898,Sit-ups
-1.901,7.91703,1.55503,Sit-ups
-1.04507,4.93265,5.21637,Sit-ups
-1.16538,5.80654,5.01286,Sit-ups
-6.79594,7.49265,7.83921,Sit-ups
-4.71239,5.96396,6.68102,'Air Squat'
-3.77386,6.96773,6.08486,'Air Squat'
-4.20182,5.6587,6.76601,'Air Squat'
-4.61722,5.89572,6.76362,'Air Squat'
-4.25031,5.42706,7.49744,'Air Squat'
-4.10725,5.30735,7.28855,'Air Squat'
-3.72179,5.54437,7.07307,'Air Squat'
-4.2946,5.5755,7.12634,'Air Squat'
-4.09289,5.89752,6.8534,'Air Squat'
-4.28921,7.18261,7.34481,'Air Squat'
-13.8774,0.260968,8.70651,'Air Squat'
2.39061,4.73214,3.82893,'Air Squat'
-1.10492,2.82695,15.8532,'Air Squat'
-6.00167,0.277727,9.52054,'Air Squat'
0.644639,2.74914,3.29921,'Air Squat'
-10.0311,-4.43765,6.60081,'Air Squat'
-8.74003,-2.26192,3.16394,'Air Squat'
-7.61536,-2.98138,-1.00796,'Air Squat'
-15.4965,-11.3808,0.701501,'Air Squat'
-9.24341,-4.72855,-2.71024,'Air Squat'
-8.71549,-3.35248,0.13228,'Air Squat'
-9.7857,-8.01758,2.99754,'Air Squat'
-11.6765,-0.116119,3.12144,'Air Squat'
-3.88818,4.59088,2.36427,'Air Squat'
-10.2843,3.21062,3.04961,'Air Squat'
-10.5656,-3.92649,3.27168,'Air Squat'
-6.71993,-8.42101,2.478,'Air Squat'
2.38642,-11.7376,-0.712874,'Air Squat'
-9.1686,-4.55018,2.04405,'Air Squat'
-4.10486,1.19231,1.80224,'Air Squat'
-8.63708,3.635,2.52888,'Air Squat'
-8.93576,5.9879,2.68869,'Air Squat'
-11.0534,2.84671,2.68091,'Air Squat'
-9.08061,-7.40646,2.63482,'Air Squat'
4.98293,-10.6147,-2.78326,'Air Squat'
-11.2713,-6.11419,1.02232,'Air Squat'
-6.05793,1.94529,1.51014,'Air Squat'
-9.43196,3.90375,2.63003,'Air Squat'
-7.48846,3.08493,1.07978,'Air Squat'
-12.1811,-3.64876,3.55778,'Air Squat'
-7.16644,-6.54814,1.62387,'Air Squat'
-3.17531,-13.2477,1.78488,'Air Squat'
-11.4742,-2.61207,4.1282,'Air Squat'
-5.71496,5.71197,3.62602,'Air Squat'
-8.5054,4.11922,1.71245,'Air Squat'
-9.46907,2.30741,1.51733,'Air Squat'
-11.0995,-4.93744,2.2697,'Air Squat'
-3.33632,-7.53874,0.365714,'Air Squat'
-7.55431,-11.6029,3.00772,'Air Squat'
-12.1039,-0.232836,5.21936,'Air Squat'
-6.68401,3.94924,3.00353,'Air Squat'
-8.21989,4.16831,2.23199,'Air Squat'
-10.9493,0.548272,1.76513,'Air Squat'
-11.4575,-7.17482,3.68168,'Air Squat'
-0.597952,-7.24545,-0.908001,'Air Squat'
-4.47596,-10.1963,1.19231,'Air Squat'
-11.33,-2.85928,3.29083,'Air Squat'
-6.20577,3.69126,2.38103,'Air Squat'
-9.02075,3.55838,2.1464,'Air Squat'
-9.02255,-1.00437,2.56539,'Air Squat'
-11.1342,-8.02955,1.67594,'Air Squat'
-1.35871,-7.96311,-1.34494,'Air Squat'
-10.5405,-5.37977,2.07936,'Air Squat'
-9.43794,0.744597,0.956484,'Air Squat'
-6.89111,3.47758,2.87783,'Air Squat'
-8.95491,1.97522,1.18034,'Air Squat'
-10.7194,-0.571017,3.80858,'Air Squat'
-9.15064,-7.74644,1.74777,'Air Squat'
-4.39456,-7.55131,1.16538,'Air Squat'
-8.8759,-9.93654,3.70503,'Air Squat'
-10.0981,0.500388,0.517746,'Air Squat'
-8.97826,4.12282,2.79224,'Air Squat'
-8.52037,4.41072,-0.170587,'Air Squat'
-11.7322,-1.27611,2.4355,'Air Squat'
-10.7853,-3.79182,2.93649,'Air Squat'
-8.03135,-5.30974,2.56419,'Air Squat'
-3.35428,-10.8146,-0.821211,'Air Squat'
-14.7339,2.05722,4.01807,'Air Squat'
-5.38336,1.20129,0.589572,'Air Squat'
-9.71387,2.83773,2.55222,'Air Squat'
-8.64187,2.1889,1.55144,'Air Squat'
-12.0494,-4.53222,3.04842,'Air Squat'
-5.60483,-5.70299,1.68432,'Air Squat'
-0.034117,-14.4969,0.107141,'Air Squat'
-3.79481,-5.71915,1.19112,'Air Squat'
-14.1366,3.77625,3.5093,'Air Squat'
-4.09708,0.612916,0.878672,'Air Squat'
-9.43555,4.92368,3.18489,'Air Squat'
-8.15585,3.17112,3.74333,'Air Squat'
-7.762,7.97149,3.36744,'Air Squat'
-8.64786,4.66091,2.7665,'Air Squat'
10.0329,1.54546,-1.77889,'Air Squat'
3.02627,9.40742,-3.27287,'Air Squat'
0.287304,11.6825,2.23678,'Air Squat'
0.043694,10.5165,5.35942,'Air Squat'
-2.7683,11.0451,14.376,'Air Squat'
3.82354,7.3508,3.36086,'Air Squat'
-3.40994,12.0811,8.32823,'Air Squat'
-1.7753,6.67144,3.41413,'Air Squat'
-3.31657,6.38174,2.60549,'Air Squat'
-3.7559,6.44938,4.34548,'Air Squat'
